"","ACCts"
"1",90.4347826086957
"2",82.6086956521739
"3",88.695652173913
"4",90.4347826086957
"5",89.5652173913044
"6",86.9565217391304
"7",88.695652173913
"8",89.5652173913044
"9",87.8260869565217
"10",90.4347826086957
"11",89.5652173913044
"12",84.3478260869565
"13",89.5652173913044
"14",86.0869565217391
"15",88.695652173913
"16",84.3478260869565
"17",84.3478260869565
"18",86.9565217391304
"19",87.8260869565217
"20",89.5652173913044
"21",89.5652173913044
"22",86.9565217391304
"23",87.8260869565217
"24",86.0869565217391
"25",81.7391304347826
"26",92.1739130434783
"27",91.304347826087
"28",87.8260869565217
"29",86.9565217391304
"30",87.8260869565217
"31",88.695652173913
"32",93.9130434782609
"33",88.695652173913
"34",87.8260869565217
"35",85.2173913043478
"36",88.695652173913
"37",86.0869565217391
"38",91.304347826087
"39",86.9565217391304
"40",91.304347826087
"41",85.2173913043478
"42",88.695652173913
"43",86.9565217391304
"44",81.7391304347826
"45",87.8260869565217
"46",90.4347826086957
"47",87.8260869565217
"48",85.2173913043478
"49",87.8260869565217
"50",89.5652173913044
"51",86.9565217391304
"52",85.2173913043478
"53",88.695652173913
"54",86.0869565217391
"55",82.6086956521739
"56",93.0434782608696
"57",85.2173913043478
"58",88.695652173913
"59",86.9565217391304
"60",85.2173913043478
"61",85.2173913043478
"62",90.4347826086957
"63",83.4782608695652
"64",90.4347826086957
"65",86.0869565217391
"66",88.695652173913
"67",88.695652173913
"68",90.4347826086957
"69",91.304347826087
"70",90.4347826086957
"71",93.0434782608696
"72",92.1739130434783
"73",85.2173913043478
"74",91.304347826087
"75",89.5652173913044
"76",87.8260869565217
"77",86.0869565217391
"78",87.8260869565217
"79",86.0869565217391
"80",87.8260869565217
"81",84.3478260869565
"82",90.4347826086957
"83",90.4347826086957
"84",90.4347826086957
"85",86.0869565217391
"86",87.8260869565217
"87",86.0869565217391
"88",87.8260869565217
"89",85.2173913043478
"90",83.4782608695652
"91",91.304347826087
"92",88.695652173913
"93",90.4347826086957
"94",88.695652173913
"95",88.695652173913
"96",94.7826086956522
"97",89.5652173913044
"98",89.5652173913044
"99",84.3478260869565
"100",86.9565217391304
