"","ACCts"
"1",85.2173913043478
"2",84.3478260869565
"3",86.0869565217391
"4",86.0869565217391
"5",86.0869565217391
"6",80
"7",82.6086956521739
"8",86.0869565217391
"9",85.2173913043478
"10",83.4782608695652
"11",86.0869565217391
"12",85.2173913043478
"13",87.8260869565217
"14",80
"15",85.2173913043478
"16",86.9565217391304
"17",85.2173913043478
"18",83.4782608695652
"19",86.0869565217391
"20",80.8695652173913
"21",86.0869565217391
"22",86.9565217391304
"23",82.6086956521739
"24",85.2173913043478
"25",81.7391304347826
"26",84.3478260869565
"27",88.695652173913
"28",87.8260869565217
"29",86.9565217391304
"30",86.0869565217391
"31",83.4782608695652
"32",84.3478260869565
"33",85.2173913043478
"34",86.9565217391304
"35",81.7391304347826
"36",80.8695652173913
"37",85.2173913043478
"38",79.1304347826087
"39",86.0869565217391
"40",82.6086956521739
"41",87.8260869565217
"42",86.9565217391304
"43",85.2173913043478
"44",83.4782608695652
"45",85.2173913043478
"46",86.0869565217391
"47",86.9565217391304
"48",85.2173913043478
"49",85.2173913043478
"50",81.7391304347826
"51",86.0869565217391
"52",89.5652173913044
"53",85.2173913043478
"54",81.7391304347826
"55",85.2173913043478
"56",81.7391304347826
"57",87.8260869565217
"58",86.9565217391304
"59",82.6086956521739
"60",86.0869565217391
"61",86.9565217391304
"62",85.2173913043478
"63",82.6086956521739
"64",82.6086956521739
"65",85.2173913043478
"66",86.0869565217391
"67",86.0869565217391
"68",85.2173913043478
"69",82.6086956521739
"70",83.4782608695652
"71",86.0869565217391
"72",84.3478260869565
"73",84.3478260869565
"74",83.4782608695652
"75",86.9565217391304
"76",86.0869565217391
"77",86.9565217391304
"78",79.1304347826087
"79",80.8695652173913
"80",86.9565217391304
"81",80.8695652173913
"82",85.2173913043478
"83",86.9565217391304
"84",87.8260869565217
"85",87.8260869565217
"86",84.3478260869565
"87",82.6086956521739
"88",81.7391304347826
"89",83.4782608695652
"90",86.0869565217391
"91",86.0869565217391
"92",87.8260869565217
"93",87.8260869565217
"94",86.9565217391304
"95",86.0869565217391
"96",87.8260869565217
"97",85.2173913043478
"98",87.8260869565217
"99",77.3913043478261
"100",87.8260869565217
