"X","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","set"
65,-2.72340697857984,-1.47459837774436,-1.34510815563711,-1.18209636335138,0.771145236302706,"train"
40,0.821476175533541,4.02521457861627,0.0991978162326667,-0.169992420460274,-1.40819488778166,"train"
20,2.25292745319044,-0.115660002835431,1.33471910962881,-4.840136037377,-0.885037146090435,"train"
53,-1.1773377071598,2.12267357471147,-1.24203545573583,0.493791158591583,0.532623033834967,"train"
63,0.266955866546126,2.08852261252303,-0.313422270603766,-2.18031282060868,-0.00498108727913882,"train"
50,-4.47439020226569,-1.38123833149646,7.85965349578836,0.688814612810621,0.406355447327541,"train"
36,-0.734186512877321,3.74608946308609,-0.522712098673475,0.883529426140053,-0.798888303725466,"train"
98,-1.70735377448522,-2.83609367312879,-1.83897746327344,0.290401678617968,0.816452838392312,"train"
33,0.10616197093354,3.70931530271515,-0.00610053365311444,-0.893908358228296,-0.886722165910826,"train"
52,-1.33996723597892,3.83522097684122,-0.29017585066241,-0.594545168850054,-0.202082002115117,"train"
94,-2.19816499180405,-2.59565503684558,-1.81003853786171,-0.741158391766829,1.38699625594972,"train"
39,-0.376529410577324,3.90403910103665,-0.470062923730583,1.24548739502406,-1.05962466466088,"train"
34,-1.09184361517732,3.58813982513553,-0.575361273616365,0.521571457256039,-0.538151942790048,"train"
13,-1.80715781977731,3.27224054923442,-0.680659623502148,-0.202344480511986,-0.0166792209192146,"train"
49,-3.77823668612408,-1.19514398587041,8.21192371065696,1.47161806543508,-0.361660991133684,"train"
37,-0.782032302379465,3.78863326170944,-0.769048733780202,1.13387909285626,-0.203020897390684,"train"
97,-1.88309271326945,-2.04320159541442,-1.47888221738171,-0.740552383410599,1.04388633305933,"train"
64,-2.5144098646906,-2.63782823636694,-1.61481367269496,-1.41156494707904,0.704802135356334,"train"
48,-4.45096606695868,-1.90554706525213,7.82811821523407,1.10905408819483,0.242185292692127,"train"
45,-0.73464387183013,3.64192993776959,-0.574054606338378,0.97509944509879,-0.964732390227663,"train"
35,-1.77844243500542,3.33953321314256,-0.737455835299131,0.31344822026943,-0.327258162068134,"train"
41,-0.2682160453255,4.51837560473747,-0.514442789594214,2.96136122437058,3.69611228007076,"train"
47,-4.40314526597881,-1.14667299460414,7.76126498437152,1.35153247643857,0.25830894359371,"train"
42,-2.1411874552559,3.09168469540925,-0.679666072368745,-0.852812954859862,0.394271180445956,"train"
38,-1.53940724115583,-2.80608188309603,-1.88332252743068,0.776311818650295,0.600396132572853,"train"
3,-2.53977344314788,-1.70776793018493,-1.34215316453137,-0.606563872249833,0.322136289235289,"train"
2,-1.78673866807155,-2.42301198228153,-1.38664614889765,-0.394106156766285,0.445564049728991,"train"
9,3.08201014967916,-2.69825867603144,-0.632391620399709,2.52941260720155,-1.31945182826785,"train"
10,3.45297601276657,-2.02950332916635,0.313335253674065,-0.389881309052983,-0.755282054896677,"train"
29,3.79625014911351,-1.69445633848582,-0.201172013887989,2.56959506236276,-2.00845494078465,"train"
6,-1.01483377121404,-1.54686730745698,-0.946405041302998,0.149411420187199,-0.717232398221537,"train"
7,-0.731855582228832,-1.77967566054304,-1.51722925619662,1.84114952046311,-0.491664765946406,"train"
11,8.95174311459017,-0.454536907846832,1.74929417451496,2.66065918106803,4.70470411204319,"train"
5,-0.469265684707285,-1.94157962619937,-1.25929474075944,1.59125900181025,-1.16900488374333,"train"
27,1.17749640177622,-2.68480005289739,-0.888963180583953,1.08052482942902,-0.626378239694808,"train"
25,4.30917868817464,-1.07055360972384,0.650028377504535,-0.37941091223452,-0.805978873282711,"train"
8,2.09407090444509,0.137740823286005,-0.116610340725175,2.66723259694722,-2.15947362011893,"train"
21,3.31258999930303,-0.152616797898298,0.599588935326602,-0.47301024558641,-2.49215236320327,"train"
31,5.33191990240297,-0.773328066376477,0.868538719266658,0.293625723803368,-1.2108767940208,"train"
23,1.52430448780304,-0.942364987651083,0.336343060612145,-2.28280009000647,-1.18847055852619,"train"
43,-1.42639461070317,3.50625833007335,-0.612855284634466,0.0552003838641348,-0.282311386839575,"train"
1,-0.60110089316791,-1.89151001716389,-1.37471157009264,2.46663704397138,-1.81011604963202,"train"
28,4.12126770396787,-0.517891653030886,1.01556725190387,-1.45930052497356,-0.614942748696332,"train"
22,2.11853459281031,-0.411818610814388,1.16228768027578,-5.25756518957712,-0.671750337735395,"train"
15,-2.17763970152411,-3.19227586117325,-1.92271876431202,-1.09884775364682,1.46185305838626,"train"
17,-2.56848882791978,-1.77506059409307,-1.28535695273438,-1.12235657303125,0.632715230384208,"train"
16,-2.14892431675222,-3.12498319726511,-1.979514976109,-0.583055052865399,1.15127411723734,"train"
26,0.664567862715095,-3.30870278165937,-1.74016357197648,4.0295308040263,-1.82885430719674,"train"
14,-2.35308314246411,-2.29519282049687,-1.86978974076443,-0.800898182086968,1.52542626186822,"test"
18,1.94309115187031,0.485264429861993,1.21521670382336,-4.95961561801728,-0.608177134253435,"test"
19,2.09800930253038,0.184802213513281,1.27496790672609,-4.89987582769714,-0.746607140171936,"test"
