"","ACCts"
"1",76.5217391304348
"2",82.6086956521739
"3",76.5217391304348
"4",86.0869565217391
"5",82.6086956521739
"6",84.3478260869565
"7",88.695652173913
"8",81.7391304347826
"9",85.2173913043478
"10",82.6086956521739
"11",84.3478260869565
"12",90.4347826086957
"13",85.2173913043478
"14",79.1304347826087
"15",86.0869565217391
"16",73.0434782608696
"17",86.0869565217391
"18",87.8260869565217
"19",82.6086956521739
"20",87.8260869565217
"21",85.2173913043478
"22",86.9565217391304
"23",81.7391304347826
"24",85.2173913043478
"25",85.2173913043478
"26",81.7391304347826
"27",80.8695652173913
"28",83.4782608695652
"29",80.8695652173913
"30",87.8260869565217
"31",85.2173913043478
"32",85.2173913043478
"33",84.3478260869565
"34",86.0869565217391
"35",83.4782608695652
"36",86.0869565217391
"37",88.695652173913
"38",84.3478260869565
"39",87.8260869565217
"40",86.0869565217391
"41",86.0869565217391
"42",80.8695652173913
"43",86.9565217391304
"44",86.9565217391304
"45",81.7391304347826
"46",80.8695652173913
"47",85.2173913043478
"48",79.1304347826087
"49",86.0869565217391
"50",82.6086956521739
"51",86.9565217391304
"52",87.8260869565217
"53",81.7391304347826
"54",83.4782608695652
"55",83.4782608695652
"56",85.2173913043478
"57",83.4782608695652
"58",84.3478260869565
"59",86.0869565217391
"60",82.6086956521739
"61",89.5652173913044
"62",82.6086956521739
"63",80.8695652173913
"64",86.0869565217391
"65",81.7391304347826
"66",79.1304347826087
"67",85.2173913043478
"68",80.8695652173913
"69",85.2173913043478
"70",76.5217391304348
"71",83.4782608695652
"72",80
"73",81.7391304347826
"74",86.0869565217391
"75",80.8695652173913
"76",83.4782608695652
"77",84.3478260869565
"78",88.695652173913
"79",80.8695652173913
"80",85.2173913043478
"81",88.695652173913
"82",84.3478260869565
"83",86.0869565217391
"84",86.0869565217391
"85",84.3478260869565
"86",80.8695652173913
"87",88.695652173913
"88",80.8695652173913
"89",81.7391304347826
"90",86.9565217391304
"91",81.7391304347826
"92",86.9565217391304
"93",82.6086956521739
"94",83.4782608695652
"95",80
"96",86.0869565217391
"97",86.0869565217391
"98",86.0869565217391
"99",84.3478260869565
"100",83.4782608695652
