"","ACCts"
"1",84.3478260869565
"2",90.4347826086957
"3",86.0869565217391
"4",86.0869565217391
"5",89.5652173913044
"6",84.3478260869565
"7",90.4347826086957
"8",86.9565217391304
"9",87.8260869565217
"10",80
"11",89.5652173913044
"12",84.3478260869565
"13",93.0434782608696
"14",87.8260869565217
"15",87.8260869565217
"16",82.6086956521739
"17",87.8260869565217
"18",93.9130434782609
"19",88.695652173913
"20",81.7391304347826
"21",83.4782608695652
"22",87.8260869565217
"23",85.2173913043478
"24",91.304347826087
"25",87.8260869565217
"26",91.304347826087
"27",85.2173913043478
"28",84.3478260869565
"29",85.2173913043478
"30",80
"31",80.8695652173913
"32",91.304347826087
"33",86.0869565217391
"34",87.8260869565217
"35",79.1304347826087
"36",86.9565217391304
"37",84.3478260869565
"38",89.5652173913044
"39",82.6086956521739
"40",92.1739130434783
"41",86.9565217391304
"42",92.1739130434783
"43",89.5652173913044
"44",87.8260869565217
"45",85.2173913043478
"46",88.695652173913
"47",84.3478260869565
"48",80
"49",90.4347826086957
"50",88.695652173913
"51",86.9565217391304
"52",87.8260869565217
"53",86.9565217391304
"54",91.304347826087
"55",88.695652173913
"56",86.9565217391304
"57",84.3478260869565
"58",87.8260869565217
"59",91.304347826087
"60",89.5652173913044
"61",82.6086956521739
"62",89.5652173913044
"63",89.5652173913044
"64",87.8260869565217
"65",89.5652173913044
"66",85.2173913043478
"67",91.304347826087
"68",90.4347826086957
"69",86.9565217391304
"70",84.3478260869565
"71",91.304347826087
"72",87.8260869565217
"73",87.8260869565217
"74",93.0434782608696
"75",91.304347826087
"76",89.5652173913044
"77",85.2173913043478
"78",83.4782608695652
"79",86.9565217391304
"80",87.8260869565217
"81",89.5652173913044
"82",89.5652173913044
"83",85.2173913043478
"84",83.4782608695652
"85",89.5652173913044
"86",93.0434782608696
"87",86.9565217391304
"88",91.304347826087
"89",86.9565217391304
"90",85.2173913043478
"91",87.8260869565217
"92",81.7391304347826
"93",85.2173913043478
"94",86.0869565217391
"95",85.2173913043478
"96",85.2173913043478
"97",85.2173913043478
"98",86.0869565217391
"99",86.0869565217391
"100",89.5652173913044
